ASM31688	긴급 TV M OSS 결과보고 다른고객이사용중인스마트카드라는 메세지 뜸 업무경로 데이터 주문진 오류메세지 확인사항 결과보고시 위 메세지 뜨며 미디어 센터로 문의시 확인 해보라는 답변만 받으셨다 합니다 긴급건으로 확인 및 조치 부탁 드립니다
ASM30014	무선 네트워크 연결이 안됨 무선 네트워크 연결이 안되고 설정하면 연결중 으로만 나오고 연결이 안됩니다 다시 설정해도 동일합니다 광화문
ASM30018	유선 단기 IP 신청했으나 연결 안됨 문의 유선 단기 신청했으나 연결 안됨 문의 식별되지 않은 네트워크 이쪽으로 안내했다 함 요청시간 만료 북광주지사 층 박형일
ASM34824	마이페이지 김춘자 안녕하세요 윤지영 입니다 마이페이지 클릭시 이용중인 상품 조회 안됩니다 확인부탁드립니다 마이올레 운영부서 답변 요청하신 문의 사항 확인 결과 고객정보 연동의 문제로 상품정보가 제대로 나오지 않고 있는것으로 확인됩니다 아래의 정보를 첨부하시어 문의 접숙하시어 으로 확인요청하여 주시기 바랍니다
ASM30014	무선 네트워크가 안된다고 문의 무선 네트워크가 안된다고 합니다 아침에 연결되었는데 연결이 끊어지고 안된다고 합니다 무선랜 프로필 삭제후 재설정 안내드렸으나 식별되지 않은 네트워크로 나오며 연결이 안된다고 합니다 확인및 조치부탁드립니다 광화문 웨스트
ASM30157	문서보안 로그인 하면 PC ID 확인에 실패하였습니다 NS 발생함 문서보안 로그인 하면 확인에 실패하였습니다 발생 합니다
ASM30157	문서보안 걸린 엑셀 프린터시에만 작동중지 오류 나와 문의 김기봉 문서보안 안걸린 엑셀문서 파워포인트 이상 없이 출력 되는데 문서보안 걸린 엑셀 문서 출력시아멘 작동중지 나오고 출력 안됨 오피스 확인 조치 요청 합니다
ASM24669	KT직원SFA 계정 ID 변경 요청드립니다 안녕하십니까 판매기획팀 고영관입니다 영업전산 유통망관리 메뉴 사원명부 메뉴에서 사원에 대한 전산 계정을 추가하였습니다 다른 직원들은 시작하는 사번이 사원 설정이 되었으나 이번에 추가한 경우에는 생성이 되어 변경 요청드립니다 전승규 대구고객본부 담당 영업부 위 정보 확인해서 변경요청드립니다 감사합니다 고영관 드림
ASM30014	무선 네트워크 연결이 안되는 문의 무선 네트워크 연결이 안되는 문의 김정훈 혜화빌딩 기존 무선 사용자 무선 프로필 재설정 완료
ASM38549	업무지원요청 ONLINE KT멤버십앱 아래 고객 데이터 보정 처리 부탁드립니다 안효정 안녕하세요 맡고 있는 홍경철입니다 하기의 위하여 업무지원 요청 드립니다 타인의 정보가 노출되는 인입되었습니다 고객정보 조회시 타인의 정보가 노출되는 것을 확인 하였고 데이터 확인시 분당 대전의 데이터는 중복여부는 확인되지 않았습니다 다만 테이블에서 개인과 개인으로 맵핑 되어있습니다 박문대 이진아 위와 관련하여 문의사항이 있습니다 호출 시 개인 개인사업자 고객정보 전체 호출 되는것으로 알고 있습니다 개인 개인 관계가 연결 되어있으면 시 고객정보가 호출 되는게 맞는지 여부 확인 연결 관계를 끈으면 되는지 또는 다른 처리방안 여부 확인 민원인 정보 이진아 조회되는 타인 정보 박문대 분석에 도움될 수 있도록 을 호출한 및 인입시간 기재 드립니다 확인 부탁 드립니다
